name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
David Fanjkutic,192,M-O,88.8,93,127.5,97.5,142.5,367.5,12,236.24,November Open 2017,Dublin,2017,david fanjkutic,04/11/2017,16,1238
David Gagnon,193,M-O,91.4,93,225,145,257.5,627.5,2,397.51,October Open 2017,Limerick,2017,david gagnon,07/10/2017,18,1107
David Horgan,194,M-O,101.2,105,160,115,180,455,9,275.61,October Open 2017,Limerick,2017,david horgan,07/10/2017,18,1143
David Keane,195,M-O,49.8,59,92.5,47.5,115,255,1,262.05,National Championships 2017,Belfast,2017,david keane,29/07/2017,14,1060
David Keenan,196,M-O,81,83,170,105,210,485,5,328.55,November Open 2017,Dublin,2017,david keenan,04/11/2017,16,1218
David McQuillan,197,M-O,65.8,66,200,130,232.5,562.5,1,442.78,National Championships 2017,Belfast,2017,david mcquillan,29/07/2017,14,1012
David Moran,198,M-O,99.2,105,170,100,225,495,8,302.23,October Open 2017,Limerick,2017,david moran,07/10/2017,18,1135
David Nolan,199,M-O,91.8,93,210,127.5,235,572.5,6,361.89,October Open 2017,Limerick,2017,david nolan,07/10/2017,18,1116
David O'Connor,200,M-O,103.2,105,250,145,265,660,4,396.84,Nationals 2018,Dublin,2018,david o'connor,10/02/2018,15,1350
David Twomey,201,M-O,102,105,235,157.5,250,642.5,2,388.01,December Last Chance Open 2017,Limerick,2017,david twomey,10/12/2017,6,1284
David Walsh,202,M-O,102,105,205,135,230,570,6,344.23,October Open 2017,Limerick,2017,david walsh,07/10/2017,18,1118
Dawn Murphy,203,F-O,62.4,63,115,50,150,315,2,340.76,October Open 2017,Limerick,2017,dawn murphy,07/10/2017,18,1164
Dawn Murphy O'Shea,204,F-O,61.7,63,112.5,45,140,297.5,2,324.62,May Open 2017,,2017,dawn murphy o'shea,27/05/2017,11,923
Dean Salmon,205,M-U23-C,98.2,105,220,185,250,655,1,401.6,Boyneside Regional Championships,Drogheda,2016,dean salmon,19/06/2016,5,231
Deividas Barisas,206,M-O,65.4,66,182.5,110,222.5,515,1,407.44,Athlone Open,Athlone,2016,deividas barisas,03/09/2016,4,323
Dermot O'Rourke,207,M-O,58.8,59,165,95,170,430,1,373.63,Nationals 2018,Dublin,2018,dermot o'rourke,10/02/2018,15,1379
Derrie Sutton,208,M-O,102.4,105,235,145,295,675,3,407.04,Nationals 2018,Dublin,2018,derrie sutton,10/02/2018,15,1344
Dewi Harrison,209,M-O,80.4,83,170,115,230,515,4,350.49,November Open 2017,Dublin,2017,dewi harrison,04/11/2017,16,1212
Donal O'Brien,210,M-O,111.8,120,260,160,252.5,672.5,1,393.85,October Open 2017,Limerick,2017,donal o'brien,07/10/2017,18,1102
Donna Cassley,211,F-O,99,84+,140,62.5,162.5,365,2,304.81,National Championships 2017,Belfast,2017,donna cassley,29/07/2017,14,1039
Donna Flaherty,212,F-O,70.6,72,95,57.5,120,272.5,6,269.51,March Open 2018,Sligo,2018,donna flaherty,10/03/2018,25,1430
Donna Ivie,213,F-O,108.4,84+,145,70,145,360,3,293.63,Nationals 2018,Dublin,2018,donna ivie,10/02/2018,15,1397
Donnacha Cregan,214,M-O,73.6,74,155,107.5,200,462.5,7,333.97,October Open 2017,Limerick,2017,donnacha cregan,07/10/2017,18,1142
Donnacha Cregan-Nolan,215,M-O,81,83,175,112.5,230,517.5,8,350.57,Munster Open 2017,Limerick,2017,donnacha cregan-nolan,04/02/2017,12,638
Drew Lupton,216,M-SR,91.2,93,200,122.5,235,557.5,3,353.55,IPF-NIPF All Irelands 2016,Belfast,2015,drew lupton,26/11/2016,9,483
Dylan Bryans,217,M-O,70.6,74,155,85,185,425,8,316.43,Leinster Open 2017,Dublin,2017,dylan bryans,21/01/2017,10,560
Dylan Potter,218,M-O,65.6,66,180.5,135,205,520.5,1,410.75,Nationals 2018,Dublin,2018,dylan potter,10/02/2018,15,1372
Eamon Lovett,219,M-Sen-C,79,83,132.5,102.5,140,375,4,258.07,Boyneside Regional Championships,Drogheda,2016,eamon lovett,19/06/2016,5,260
Edel Larkin,220,F-O,80.9,84,120,55,140,315,2,286.46,September Open 2017,Dublin,2017,edel larkin,02/09/2017,22,1087
Eibhlin O'Regan,221,F-O,112,84+,100,47.5,112.5,260,2,210.61,Munster Open 2017,Limerick,2017,eibhlin o'regan,04/02/2017,12,679
Elaine Clarke,222,F-O,68.4,72,85,47.5,117.5,250,10,252.76,November Open 2017,Dublin,2017,elaine clarke,04/11/2017,16,1266
Elaine O'Sullivan,223,F-O,69.2,72,57.5,47.5,92.5,197.5,6,198.05,October Open 2017,Limerick,2017,elaine o'sullivan,07/10/2017,18,1188
Elaine Stone,224,F-O,71.6,72,107.5,67.5,120,295,5,289,RevFit Open,Dublin,2016,elaine stone,08/10/2016,21,412
Elan Darcy,225,M-O,91.6,93,175,105,227.5,507.5,13,321.15,Munster Open 2017,Limerick,2017,elan darcy,04/02/2017,12,643
Eleanor Magan,226,F-Sen-C,62.8,63,50,30,77.5,157.5,4,169.56,Open Championships,Dublin,2015,eleanor magan,08/08/2015,19,81
Eleanor McShortall,227,F-O,70.6,72,120,67.5,135,322.5,1,318.96,December Last Chance Open 2017,Limerick,2017,eleanor mcshortall,10/12/2017,6,1312
Eloise Sheerin,228,F-O,78.2,84,110,65,137.5,312.5,4,289.67,Leinster Open 2017,Dublin,2017,eloise sheerin,21/01/2017,10,582
Elysia Doody,229,F-Sen-C,51.8,52,80,45,115,240,1,300.08,Boyneside Regional Championships,Drogheda,2016,elysia doody,19/06/2016,5,282
Emer McManus,230,F-O,51,52,115,65,135,315,1,398.6,Athlone Open,Athlone,2016,emer mcmanus,03/09/2016,4,359
Emily Brennan,231,F-O,72.4,84,120,60,145,325,2,316.05,November Open 2017,Dublin,2017,emily brennan,04/11/2017,16,1247
Emily Mazilu,232,F-JR,54.36,57,112.5,52.5,127.5,292.5,9,352.86,European Classic Championships 2017,Thisted,2017,emily mazilu,12/03/2017,7,777
Emily Walsh,233,F-O,54.2,57,120,65,135,320,1,386.27,December Last Chance Open 2017,Limerick,2017,emily walsh,10/12/2017,6,1313
Emma Keyes,234,F-O,65,72,95,47.5,120,262.5,4,275.39,December Last Chance Open 2017,Limerick,2017,emma keyes,10/12/2017,6,1324
Emma Kiely,235,F-O,82.6,84,135,65,175,375,1,337.28,December Last Chance Open 2017,Limerick,2017,emma kiely,10/12/2017,6,1308
Emma Moore,236,F-O,71.4,72,85,47.5,140,272.5,4,267.46,ABS Club Championship 2016,Dublin,2016,emma moore,02/04/2016,3,860
Eoin Healy,237,M-O,81.6,83,165,105,190,460,6,310.21,March Open 2018,Sligo,2018,eoin healy,10/03/2018,25,1453
Eoin Jefferies,238,M-O,78.7,83,180,122.5,215,517.5,5,357.01,May Open 2017,,2017,eoin jefferies,27/05/2017,11,896
Eoin Long,239,M-O,81.2,83,157.5,117.5,220,495,6,334.82,University Championships 2017,Cork,2017,eoin long,25/03/2017,23,792
Eoin O Donoghue,240,M-Sen-C,71,74,117.5,65,125,307.5,2,227.97,Novice Open 2016,,2016,eoin o donoghue,23/01/2016,17,135
Eoin O'Leary,241,M-O,126,120+,260,160,265,685,3,389.72,National Championships 2017,Belfast,2017,eoin o'leary,29/07/2017,14,989
Eoin Small,242,M-O,88.2,93,195,110,217.5,522.5,5,337.08,November Open 2017,Dublin,2017,eoin small,04/11/2017,16,1211
Eric Killeen,243,M-O,79.8,83,127.5,95,160,382.5,10,261.55,May Open 2017,,2017,eric killeen,27/05/2017,11,913
Eric Yeung,244,M-O,72.4,74,145,112.5,195,452.5,8,330.66,October Open 2017,Limerick,2017,eric yeung,07/10/2017,18,1144
Erica Gaffney,245,F-SEN-C,47.4,52,82.5,55,102.5,240,2,320.8,National Championships 2016,Limerick,2016,erica gaffney,27/02/2016,13,219
Erin George Wagner,246,M-Sen-C,129.5,120+,275,180,262.5,717.5,1,406.1,National Championships 2016,Limerick,2016,erin george wagner,27/02/2016,13,172
Erin Wagner,247,M-SEN-C,130,120+,270,180,290,740,1,418.54,National Championships 2016,Limerick,2016,erin wagner,27/02/2016,13,169
Ethan Connor,248,M-O,73,74,177.5,100,200,477.5,4,346.84,Athlone Open,Athlone,2016,ethan connor,03/09/2016,4,334
Ethan Preston,249,M-O,92.4,93,182.5,132.5,215,530,9,333.97,Athlone Open,Athlone,2016,ethan preston,03/09/2016,4,321
Eva Lomasney,250,F-O,61.2,63,90,50,122.5,262.5,5,288.22,October Open 2017,Limerick,2017,eva lomasney,07/10/2017,18,1176
Ewan Mullane,251,M-O,65.8,66,160,107.5,190,457.5,5,360.13,Nationals 2018,Dublin,2018,ewan mullane,10/02/2018,15,1377
Fabrizio Marini,252,M-O,91.4,93,205,125,242.5,572.5,10,362.67,National Championships 2017,Belfast,2017,fabrizio marini,29/07/2017,14,1010
Farzad Azizi,253,M-O,81.1,83,162.5,130,190,482.5,6,326.61,May Open 2017,,2017,farzad azizi,27/05/2017,11,901
Fergal Cox,254,M-B,78,83,0,0,0,0,DQ,0,RevFit Bench and Deadlift,Dublin,2016,fergal cox,09/10/2016,20,466
Fergal O'Connor,255,M-O,71.2,74,165,82.5,187.5,435,10,321.82,October Open 2017,Limerick,2017,fergal o'connor,07/10/2017,18,1149
Fidelma Gilligan,256,F-O,80.1,84,107.5,70,140,317.5,1,290.31,September Open 2017,Dublin,2017,fidelma gilligan,02/09/2017,22,1086
Fiona Glynn,257,F-O,67,72,97.5,50,115,262.5,2,269.35,October Open 2017,Limerick,2017,fiona glynn,07/10/2017,18,1177
Fiona Walshe,258,F-O,71.4,72,117.5,60,147.5,325,9,318.99,National Championships 2017,Belfast,2017,fiona walshe,29/07/2017,14,1049
Fionn Hanratty,259,M-O,93,93,257.5,180,290,727.5,2,457.01,Nationals 2018,Dublin,2018,fionn hanratty,10/02/2018,15,1338
Freya Hammer,260,F-O,77.8,84,130,77.5,150,357.5,2,332.38,December Last Chance Open 2017,Limerick,2017,freya hammer,10/12/2017,6,1311
Gabrielle Ervine,261,F-O,62.4,63,142.5,87.5,160,390,1,421.9,Nationals 2018,Dublin,2018,gabrielle ervine,10/02/2018,15,1386
Gar Benn,262,M-O,87.4,93,202.5,122.5,235,560,8,363.03,October Open 2017,Limerick,2017,gar benn,07/10/2017,18,1121
Gareth Bowden,263,M-O,80.2,83,155,107.5,180,442.5,13,301.62,Athlone Open,Athlone,2016,gareth bowden,03/09/2016,4,344
Gary Bourke,264,M-O,101.8,105,205,132.5,235,572.5,4,346,November Open 2017,Dublin,2017,gary bourke,04/11/2017,16,1201
Gary Butler,265,M-O,77.2,83,150,90,190,430,14,300.42,Athlone Open,Athlone,2016,gary butler,03/09/2016,4,345
Gary McGivern,266,M-Sen-C,72.8,74,192.5,115,220,527.5,1,383.92,Boyneside Regional Championships,Drogheda,2016,gary mcgivern,19/06/2016,5,241
Gary O'Connor,267,M-O,91.8,93,200,115,215,530,10,335.03,October Open 2017,Limerick,2017,gary o'connor,07/10/2017,18,1128
Gavin Bolger,268,M-O,115.6,120,145,82.5,170,397.5,2,230.65,University Championships 2017,Cork,2017,gavin bolger,25/03/2017,23,810
Gavin Butler,269,M-O,79.6,83,160,95,225,480,1,328.74,December Last Chance Open 2017,Limerick,2017,gavin butler,10/12/2017,6,1302
Gavin Denihan,270,M-O,91.8,93,227.5,142.5,255,625,3,395.08,Munster Open 2017,Limerick,2017,gavin denihan,04/02/2017,12,617
Gavin Dillon,271,M-O,78.4,83,210,130,240,580,1,401.12,University Championships 2017,Cork,2017,gavin dillon,25/03/2017,23,782
Gavin Hicks,272,M-O,82.8,83,177.5,107.5,222.5,507.5,8,339.24,October Open 2017,Limerick,2017,gavin hicks,07/10/2017,18,1133
Geina McGrath,273,F-O,56.2,57,117.5,67.5,152.5,337.5,3,396,Nationals 2018,Dublin,2018,geina mcgrath,10/02/2018,15,1403
Gemma Davey,274,F-O,55.2,57,87.5,50,115,252.5,1,300.46,March Open 2018,Sligo,2018,gemma davey,10/03/2018,24,1421
Gerard Auld,275,M-Sen-C,81.2,83,182.5,127.5,205,515,4,348.34,Novice Open 2016,,2016,gerard auld,23/01/2016,17,99
Gillian Duffy,276,F-O,55.4,57,92.5,50,115,257.5,3,305.55,October Open 2017,Limerick,2017,gillian duffy,07/10/2017,18,1179
Gillian Lynch,277,F-O,61,63,72.5,47.5,100,220,9,242.16,Leinster Open 2017,Dublin,2017,gillian lynch,21/01/2017,10,604
Gina Lumsden,278,F-O,71.4,72,115,52.5,140,307.5,2,301.82,ABS Club Championship 2016,Dublin,2016,gina lumsden,02/04/2016,3,855
Glen Purdy,279,M-Sen-C,60.8,66,75,70,140,285,2,240.17,Open Championships,Dublin,2015,glen purdy,08/08/2015,19,67
Grace Kelly,280,F-O,60.8,63,110,60,155,325,1,358.65,September Open 2017,Dublin,2017,grace kelly,02/09/2017,22,1085
Graeme Butler,281,M-O,73.2,74,110,70,145,325,11,235.6,Leinster Open 2017,Dublin,2017,graeme butler,21/01/2017,10,576
Graham Norton,282,M-O,91.2,93,222.5,145,260,627.5,6,397.94,National Championships 2017,Belfast,2017,graham norton,29/07/2017,14,998
Graham Temple,283,M-U23-C,86.8,93,102.5,95,125,322.5,1,209.85,Boyneside Regional Championships,Drogheda,2016,graham temple,19/06/2016,5,267
Grainne Considine,284,F-B,78,84,0,65,0,65,1,60.34,RevFit Bench and Deadlift,Dublin,2016,grainne considine,09/10/2016,20,453
Greta Cronin,285,F-G,63.6,72,80,35,105,220,G,234.59,Munster Open 2017,Limerick,2017,greta cronin,04/02/2017,12,688
Hannah McKee,286,F-O,134,84+,100,80,152.5,332.5,5,260.66,Nationals 2018,Dublin,2018,hannah mckee,10/02/2018,15,1407
Hannah Stephenson,287,F-O,71.6,72,102.5,52.5,112.5,267.5,7,262.06,March Open 2018,Sligo,2018,hannah stephenson,10/03/2018,24,1431
Hazel Hu,288,F-O,50.91,52,135,77.5,155,367.5,6,465.66,5th World Classic Championships 2017,Minsk,2017,hazel hu,15/06/2017,2,975
Heather Thompson,289,F-O,94.6,84+,132.5,67.5,137.5,337.5,3,286.08,October Open 2017,Limerick,2017,heather thompson,07/10/2017,18,1161
Helen Twomey,290,F-M2,70.37,72,127.5,72.5,172.5,372.5,3,369.22,5th World Classic Championships 2017,Minsk,2017,helen twomey,15/06/2017,2,974
Holly O'Reilly,291,F-O,61.7,63,70,45,100,215,6,234.6,ABS Club Championship 2016,Dublin,2016,holly o'reilly,02/04/2016,3,873
Hugh Murray,292,M-O,82.2,83,105,85,157.5,347.5,12,233.3,November Open 2017,Dublin,2017,hugh murray,04/11/2017,16,1243
Ian Benson,293,M-O,100,105,232.5,147.5,267.5,647.5,5,394.06,Nationals 2018,Dublin,2018,ian benson,10/02/2018,15,1356
Ian Murphy,294,M-D,82.4,83,0,0,225,225,1,150.84,RevFit Bench and Deadlift,Dublin,2016,ian murphy,09/10/2016,20,427
Ian Wafer,295,M-O,81.4,83,190,112.5,240,542.5,4,366.39,May Open 2017,,2017,ian wafer,27/05/2017,11,891
Isabel Brown,296,F-O,54.2,57,75,40,100,215,3,259.53,University Championships 2017,Cork,2017,isabel brown,25/03/2017,23,824
Isabel Puente Lozano,297,F-O,61.2,63,60,37.5,87.5,185,5,203.13,University Championships 2017,Cork,2017,isabel puente lozano,25/03/2017,23,827
Ivan Ray Casinillo,298,M-O,71,74,160,97.5,207.5,465,3,344.74,Munster Open 2017,Limerick,2017,ivan ray casinillo,04/02/2017,12,651
Jacek Stanek,299,M-Sen-C,141.5,120+,325,207.5,317.5,850,1,474.24,Open Championships,Dublin,2015,jacek stanek,08/08/2015,19,28
Jacinta Scully,300,F-O,84.8,84+,112.5,52.5,115,280,2,248.52,Leinster Open 2017,Dublin,2017,jacinta scully,21/01/2017,10,590
Jack Brady,301,M-O,73.6,74,202.5,127.5,237.5,567.5,1,409.79,National Championships 2017,Belfast,2017,jack brady,29/07/2017,14,1011
Jack Browne,302,M-O,91.2,93,192.5,130,262.5,585,3,370.99,Leinster Open 2017,Dublin,2017,jack browne,21/01/2017,10,522
Jack Caldwell,303,M-U18-C,64.6,66,132.5,90,160,382.5,1,305.74,National Championships 2016,Limerick,2016,jack caldwell,27/02/2016,13,196
Jack Callaghan,304,M-O,82.8,83,160,112.5,200,472.5,9,315.85,November Open 2017,Dublin,2017,jack callaghan,04/11/2017,16,1223
Jack Cashman,305,M-O,88.8,93,180,130,240,550,5,353.55,University Championships 2017,Cork,2017,jack cashman,25/03/2017,23,787
Jack Gallagher,306,M-Sen-C,81.6,83,145,80,205,430,9,289.98,Novice Open 2016,,2016,jack gallagher,23/01/2016,17,119
Jack Noone,307,M-O,72.8,74,127.5,75,147.5,350,5,254.73,May Open 2017,,2017,jack noone,27/05/2017,11,916
Jack Ryan,308,M-O,80.6,83,195,97.5,217.5,510,8,346.55,Athlone Open,Athlone,2016,jack ryan,03/09/2016,4,326
Jack Spencer,309,M-O,73.2,74,160,100,175,435,5,315.34,Leinster Open 2017,Dublin,2017,jack spencer,21/01/2017,10,554
Jack Thornton,310,M-O,96.8,105,215,137.5,247.5,600,5,370.13,December Last Chance Open 2017,Limerick,2017,jack thornton,10/12/2017,6,1288
Jackie Doherty,311,M-O,81,83,215,110,255,580,7,392.91,National Championships 2017,Belfast,2017,jackie doherty,29/07/2017,14,1008
Jacqui Pope,312,F-M1,82.8,84,117.5,72.5,150,340,1,305.41,IPF-NIPF All Irelands 2016,Belfast,2015,jacqui pope,26/11/2016,9,504
James Lynch,313,M-O,86.1,93,155,95,170,420,3,274.51,September Open 2017,Dublin,2017,james lynch,02/09/2017,22,1080
James Black,314,M-Sen-C,98,105,190,122.5,220,532.5,3,326.77,Boyneside Regional Championships,Drogheda,2016,james black,19/06/2016,5,239
James Coogan,315,M-O,70,74,175,100,207.5,482.5,4,361.58,October Open 2017,Limerick,2017,james coogan,07/10/2017,18,1138
James Farrell,316,M-Sen-C,81.4,83,102.5,77.5,140,320,5,216.12,Boyneside Regional Championships,Drogheda,2016,james farrell,19/06/2016,5,269
James Hanley,317,M-O,92.8,93,240,160,272.5,672.5,1,422.89,ABS Club Championship 2016,Dublin,2016,james hanley,02/04/2016,3,830
James Kelly,318,M-O,72.8,74,155,82.5,177.5,415,4,302.04,March Open 2018,Sligo,2018,james kelly,10/03/2018,25,1445
James Keogh,319,M-O,87.6,93,145,90,170,405,11,262.23,ABS Club Championship 2016,Dublin,2016,james keogh,02/04/2016,3,847
James Lynch,320,M-O,87.7,93,200,120,220,540,7,349.42,May Open 2017,,2017,james lynch,27/05/2017,11,893
James Madden,321,M-O,63.8,66,150,112.5,190,452.5,3,365.54,Athlone Open,Athlone,2016,james madden,03/09/2016,4,342
James McSorley,322,M-O,72.8,74,162.5,97.5,190,450,7,327.51,Ulster Open 2017,Belfast,2017,james mcsorley,25/02/2017,22,722
James Moran,323,M-O,72.6,74,95,70,135,300,6,218.78,May Open 2017,,2017,james moran,27/05/2017,11,922
James Rutledge,324,M-O,91.6,93,195,142.5,215,552.5,3,349.62,Ulster Open 2017,Belfast,2017,james rutledge,25/02/2017,22,710
Jamie Sullivan,325,M-U23-C,79.1,83,150,107.5,160,417.5,2,287.09,Inaugural Comp,Belfast,2015,jamie sullivan,30/05/2015,8,15
Janine Martin,326,F-O,48.8,52,100,77.5,145,322.5,2,421.93,Nationals 2018,Dublin,2018,janine martin,10/02/2018,15,1409
Jared O'Sullivan,327,M-O,71.6,74,135,107.5,152.5,395,4,291.01,May Open 2017,,2017,jared o'sullivan,27/05/2017,11,909
Jason Adam Ward,328,M-Sen-C,82.6,83,162.5,75,195,432.5,8,289.52,Novice Open 2016,,2016,jason adam ward,23/01/2016,17,117
Jason Fehily,329,M-O,137,120+,240,140,250,630,4,353.22,Nationals 2018,Dublin,2018,jason fehily,10/02/2018,15,1361
Jason Finan,330,M-O,72.9,74,167.5,112.5,205,485,1,352.63,May Open 2017,,2017,jason finan,27/05/2017,11,899
Jean Kelly,331,F-O,55.6,57,87.5,42.5,120,250,1,295.81,University Championships 2017,Cork,2017,jean kelly,25/03/2017,23,819
Jean Meehan,332,F-O,62.6,63,100,50,130,280,2,302.16,December Last Chance Open 2017,Limerick,2017,jean meehan,10/12/2017,6,1320
Jen Dela Cruz,333,F-O,51,52,95,55,120,270,3,341.66,National Championships 2017,Belfast,2017,jen dela cruz,29/07/2017,14,1059
Jenna McDonagh,334,F-O,79.2,84,75,47.5,110,232.5,3,213.94,December Last Chance Open 2017,Limerick,2017,jenna mcdonagh,10/12/2017,6,1328
Jennifer Geary,335,F-O,68.4,72,110,50,125,285,3,288.15,March Open 2018,Sligo,2018,jennifer geary,10/03/2018,25,1427
Jennifer Higgins,336,F-B,67.2,72,0,40,0,40,4,40.96,RevFit Bench and Deadlift,Dublin,2016,jennifer higgins,09/10/2016,20,460
Jennifer Nugent,337,F-O,71,72,0,42.5,95,0,DQ,0,November Open 2017,Dublin,2017,jennifer nugent,04/11/2017,16,1278
Jennifer Twohig,338,F-D,65.6,72,0,0,110,110,5,114.62,RevFit Bench and Deadlift,Dublin,2016,jennifer twohig,09/10/2016,20,446
Jerry Quirke,339,M-O,73,74,132.5,70,170,372.5,14,270.57,October Open 2017,Limerick,2017,jerry quirke,07/10/2017,18,1156
Jessica Henebry,340,F-O,71.2,72,100,55,130,285,6,280.26,November Open 2017,Dublin,2017,jessica henebry,04/11/2017,16,1259
Jill Gracey,341,F-Sen-C,66.4,72,105,50,140,295,1,304.68,Boyneside Regional Championships,Drogheda,2016,jill gracey,19/06/2016,5,273
Jim Clarke,342,M-O,89.4,93,122.5,77.5,132.5,332.5,13,212.99,November Open 2017,Dublin,2017,jim clarke,04/11/2017,16,1244
Jo Phelan,343,F-O,80.4,84,112.5,50,127.5,290,3,264.62,October Open 2017,Limerick,2017,jo phelan,07/10/2017,18,1169
Joanne Fitzgerald,344,F-O,62.4,63,110,47.5,117.5,275,3,297.49,Ulster Open 2017,Belfast,2017,joanne fitzgerald,25/02/2017,22,745
Joanne Gibbons,345,F-O,68.5,72,105,55,130,290,3,292.9,September Open 2017,Dublin,2017,joanne gibbons,02/09/2017,22,1090
Joanne Greene,346,F-O,69.4,72,112.5,60,130,302.5,2,302.74,December Last Chance Open 2017,Limerick,2017,joanne greene,10/12/2017,6,1316
Jodie McLoughlin,347,F-Sen-C,56.4,57,92.5,52.5,132.5,277.5,1,324.69,Open Championships,Dublin,2015,jodie mcloughlin,08/08/2015,19,69
Joe Scholefield,348,M-G,59.2,66,125,72.5,150,347.5,G,300.05,University Championships 2017,Cork,2017,joe scholefield,25/03/2017,23,813
Joelle Fagan,349,F-Sen-C,80.4,84,90,55,140,285,2,260.06,Boyneside Regional Championships,Drogheda,2016,joelle fagan,19/06/2016,5,277
John Abbey,350,M-O,82.1,83,147.5,97.5,180,425,6,285.54,September Open 2017,Dublin,2017,john abbey,02/09/2017,22,1079
John Donovan,351,M-G,75.8,83,187.5,120,230,537.5,G,380.2,December Last Chance Open 2017,Limerick,2017,john donovan,10/12/2017,6,1297
John Hayes,352,M-O,89,93,130,80,150,360,15,231.15,May Open 2017,,2017,john hayes,27/05/2017,11,915
John Maguire,353,M-M3,123.07,120+,200,140,242.5,582.5,5,333.02,5th World Classic Championships 2017,Minsk,2017,john maguire,15/06/2017,2,965
John Maher,354,M-O,82.7,83,235,145,277.5,657.5,1,439.83,May Open 2017,,2017,john maher,27/05/2017,11,877
John O'Dwyer,355,M-M3,130.24,120+,212.5,167.5,217.5,597.5,3,337.83,5th World Classic Championships 2017,Minsk,2017,john o'dwyer,15/06/2017,2,964
Jonathan Akagha,356,M-O,82,83,230,132.5,285,647.5,1,435.35,Munster Open 2017,Limerick,2017,jonathan akagha,04/02/2017,12,613
Jonathan Cathcart,357,M-SR,107.4,120,192.5,152.5,225,570,2,338,IPF-NIPF All Irelands 2016,Belfast,2015,jonathan cathcart,26/11/2016,9,479
Jonathan Clarke,358,M-O,73,74,205,130,225,560,1,406.76,Leinster Open 2017,Dublin,2017,jonathan clarke,21/01/2017,10,525
Jonathan Connolly,359,M-O,55,59,125,95,160,380,1,352.13,Ulster Open 2017,Belfast,2017,jonathan connolly,25/02/2017,22,729
Jonathan Fox,360,M-Sen-C,73.6,74,140,105,185,430,2,310.5,Open Championships,Dublin,2015,jonathan fox,08/08/2015,19,53
Jonny Gardner,361,M-O,82.2,83,192.5,147.5,252.5,592.5,5,397.79,National Championships 2017,Belfast,2017,jonny gardner,29/07/2017,14,1006
Jordan Konczak,362,M-JR,81.96,83,207.5,130,220,557.5,14,374.988,European Classic Championships 2017,Thisted,2017,jordan konczak,12/03/2017,7,766
Jozef Murarik,363,M-O,108,120,170,130,200,500,2,295.95,December Last Chance Open 2017,Limerick,2017,jozef murarik,10/12/2017,6,1299
JP McGowan,364,M-O,72.6,74,160,90,200,450,3,328.17,May Open 2017,,2017,jp mcgowan,27/05/2017,11,906
Karen Barry,365,F-O,69.74,72,150,82.5,157.5,390,7,388.99,European Classic Championships 2017,Thisted,2017,karen barry,12/03/2017,7,770
Karen Keatinge,366,F-O,55.8,57,92.5,60,117.5,270,6,318.58,December Last Chance Open 2017,Limerick,2017,karen keatinge,10/12/2017,6,1323
Karen McCormack,367,F-O,71.4,72,125,60,130,315,1,309.18,ABS Club Championship 2016,Dublin,2016,karen mccormack,02/04/2016,3,853
Karen McDonnell,368,F-O,56.3,57,80,42.5,105,227.5,2,266.56,ABS Club Championship 2016,Dublin,2016,karen mcdonnell,02/04/2016,3,867
Karina Callinan,369,F-O,62,63,107.5,52.5,147.5,307.5,2,334.28,March Open 2018,Sligo,2018,karina callinan,10/03/2018,25,1424
Karina Flenik,370,F-O,51.2,52,65,37.5,87.5,190,2,239.71,October Open 2017,Limerick,2017,karina flenik,07/10/2017,18,1189
Karl Howard,371,M-O,103.4,105,140,100,200,440,9,264.37,Leinster Open 2017,Dublin,2017,karl howard,21/01/2017,10,552
Karolina Malecka,372,F-O,62,63,110,57.5,120,287.5,5,312.54,November Open 2017,Dublin,2017,karolina malecka,04/11/2017,16,1257
Karoly Boviz,373,M-O,81.5,83,160,110,200,470,4,317.19,September Open 2017,Dublin,2017,karoly boviz,02/09/2017,22,1075
Kate Sheehy,374,F-O,56.4,57,92.5,45,100,237.5,1,277.89,Athlone Open,Athlone,2016,kate sheehy,03/09/2016,4,373
Katharine Teggarty,375,F-O,54.8,57,100,52.5,155,307.5,1,368,Ulster Open 2017,Belfast,2017,katharine teggarty,25/02/2017,22,738
Kathleen Scully,376,F-O,83.4,84,125,60,140,325,2,290.86,Ulster Open 2017,Belfast,2017,kathleen scully,25/02/2017,22,736
Kayleigh McCoy,377,F-U23-C,46.6,47,70,42.5,110,222.5,1,301.08,Boyneside Regional Championships,Drogheda,2016,kayleigh mccoy,19/06/2016,5,286
Keira Hillary,378,F-Sen-C,52.8,57,100,55,140,295,2,363.43,Boyneside Regional Championships,Drogheda,2016,keira hillary,19/06/2016,5,272
Keith Grainger,379,M-G,86.2,93,175,105,195,475,G,310.26,December Last Chance Open 2017,Limerick,2017,keith grainger,10/12/2017,6,1303
Keith Richardson,380,M-O,96.2,105,200,120,205,525,4,324.74,March Open 2018,Sligo,2018,keith richardson,10/03/2018,25,1471
Kenneth Nwaezeigwe,381,M-O,92.8,93,255,152.5,275,682.5,3,429.18,Nationals 2018,Dublin,2018,kenneth nwaezeigwe,10/02/2018,15,1342
Kerrie Beckett,382,F-O,71.4,72,75,42.5,120,237.5,3,233.11,Munster Open 2017,Limerick,2017,kerrie beckett,04/02/2017,12,682
Kevin Campbell,383,M-O,72.4,74,145,102.5,180,427.5,3,312.39,March Open 2018,Sligo,2018,kevin campbell,10/03/2018,25,1444
