name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Dan Hurley,165,M-O,82.2,83,187.5,115,242.5,545,5,365.9,Athlone Open,Athlone,2016,dan hurley,03/09/2016,3,315
Michael Grace,467,M-O,92,93,192.5,117.5,235,545,8,344.14,Athlone Open,Athlone,2016,michael grace,03/09/2016,3,316
Paul Keely,511,M-O,82.2,83,202.5,122.5,217.5,542.5,6,364.22,Athlone Open,Athlone,2016,paul keely,03/09/2016,3,317
John O'Dwyer,355,M-O,129.5,120+,190,170,180,540,2,305.63,Athlone Open,Athlone,2016,john o'dwyer,03/09/2016,3,318
Ashwin Amersi,61,M-O,73,74,180,127.5,225,532.5,1,386.79,Athlone Open,Athlone,2016,ashwin amersi,03/09/2016,3,319
Simon Standbridge,608,M-O,82,83,205,110,217.5,532.5,7,358.03,Athlone Open,Athlone,2016,simon standbridge,03/09/2016,3,320
Ethan Preston,249,M-O,92.4,93,182.5,132.5,215,530,9,333.97,Athlone Open,Athlone,2016,ethan preston,03/09/2016,3,321
Stephen Cusack,618,M-O,91.4,93,187.5,110,230,527.5,10,334.16,Athlone Open,Athlone,2016,stephen cusack,03/09/2016,3,322
Deividas Barisas,206,M-O,65.4,66,182.5,110,222.5,515,1,407.44,Athlone Open,Athlone,2016,deividas barisas,03/09/2016,3,323
Philip Bridgeman,528,M-O,101.3,105,182.5,125,207.5,515,6,311.84,Athlone Open,Athlone,2016,philip bridgeman,03/09/2016,3,324
Dave Looney,189,M-O,104.2,105,195,100,220,515,7,308.58,Athlone Open,Athlone,2016,dave looney,03/09/2016,3,325
Jack Ryan,308,M-O,80.6,83,195,97.5,217.5,510,8,346.55,Athlone Open,Athlone,2016,jack ryan,03/09/2016,3,326
Chris Dowdall,100,M-O,97.4,105,180,130,200,510,8,313.78,Athlone Open,Athlone,2016,chris dowdall,03/09/2016,3,327
Louis Warren,424,M-O,72.8,74,175,115,215,505,2,367.54,Athlone Open,Athlone,2016,louis warren,03/09/2016,3,328
Danny Lennon,174,M-O,74,74,175,110,212.5,497.5,3,357.86,Athlone Open,Athlone,2016,danny lennon,03/09/2016,3,329
Ciaran Murphy,117,M-O,100.8,105,160,115,220,495,9,300.3,Athlone Open,Athlone,2016,ciaran murphy,03/09/2016,3,330
Ben Doyle,67,M-O,90.4,93,167.5,125,200,492.5,11,313.7,Athlone Open,Athlone,2016,ben doyle,03/09/2016,3,331
James Lynch,320,M-O,81.6,83,170,110,202.5,482.5,9,325.38,Athlone Open,Athlone,2016,james lynch,03/09/2016,3,332
Cian Cunningham,104,M-O,80.2,83,162.5,112.5,205,480,10,327.18,Athlone Open,Athlone,2016,cian cunningham,03/09/2016,3,333
Ethan Connor,248,M-O,73,74,177.5,100,200,477.5,4,346.84,Athlone Open,Athlone,2016,ethan connor,03/09/2016,3,334
Paul McLaren,515,M-O,66,66,160,87.5,227.5,475,2,372.97,Athlone Open,Athlone,2016,paul mclaren,03/09/2016,3,335
Damian Christie,162,M-O,90.4,93,160,107.5,207.5,475,12,302.56,Athlone Open,Athlone,2016,damian christie,03/09/2016,3,336
Gary Bourke,264,M-O,90.4,93,165,110,200,475,13,302.56,Athlone Open,Athlone,2016,gary bourke,03/09/2016,3,337
Conor Campbell,144,M-O,79.4,83,160,110,195,465,11,318.97,Athlone Open,Athlone,2016,conor campbell,03/09/2016,3,338
Billy Ahern,75,M-O,89.8,93,147.5,107.5,207.5,462.5,15,295.59,Athlone Open,Athlone,2016,billy ahern,03/09/2016,3,340
Sean Hogan,587,M-O,89.8,93,165,105,192.5,462.5,14,295.59,Athlone Open,Athlone,2016,sean hogan,03/09/2016,3,339
Bernard O'Reilly,72,M-O,81.2,83,160,120,180,460,12,311.14,Athlone Open,Athlone,2016,bernard o'reilly,03/09/2016,3,341
James Madden,321,M-O,63.8,66,150,112.5,190,452.5,3,365.54,Athlone Open,Athlone,2016,james madden,03/09/2016,3,342
Ian Wafer,295,M-O,71.8,74,165,95,190,450,5,330.85,Athlone Open,Athlone,2016,ian wafer,03/09/2016,3,343
Gareth Bowden,263,M-O,80.2,83,155,107.5,180,442.5,13,301.62,Athlone Open,Athlone,2016,gareth bowden,03/09/2016,3,344
Gary Butler,265,M-O,77.2,83,150,90,190,430,14,300.42,Athlone Open,Athlone,2016,gary butler,03/09/2016,3,345
Oisin Kelly,500,M-O,84.2,93,155,85,167.5,407.5,16,269.73,Athlone Open,Athlone,2016,oisin kelly,03/09/2016,3,346
Dylan Potter,218,M-O,59,59,142.5,95,165,402.5,1,348.64,Athlone Open,Athlone,2016,dylan potter,03/09/2016,3,347
Leslie Hoare,408,F-O,82.2,84,137.5,82.5,175,395,1,356.17,Athlone Open,Athlone,2016,leslie hoare,03/09/2016,3,348
Ciaran Murray,118,M-O,62.2,66,142.5,77.5,172.5,392.5,4,324.13,Athlone Open,Athlone,2016,ciaran murray,03/09/2016,3,349
Kevin Croughan,384,M-O,73,74,150,90,150,390,6,283.28,Athlone Open,Athlone,2016,kevin croughan,03/09/2016,3,350
Will Vara,666,M-O,74,74,140,100,150,390,7,280.53,Athlone Open,Athlone,2016,will vara,03/09/2016,3,351
Callum McCormack,82,M-O,71.8,74,145,77.5,160,382.5,8,281.22,Athlone Open,Athlone,2016,callum mccormack,03/09/2016,3,352
Stephanie Gleeson,615,F-O,71,72,127.5,90,155,372.5,1,367,Athlone Open,Athlone,2016,stephanie gleeson,03/09/2016,3,353
Teanna Watts,640,F-O,78.6,84,135,72.5,155,362.5,2,335.02,Athlone Open,Athlone,2016,teanna watts,03/09/2016,3,354
Vanessa Vanderveen,661,F-O,79.4,84,130,72.5,157.5,360,3,330.8,Athlone Open,Athlone,2016,vanessa vanderveen,03/09/2016,3,355
Lina O'Sullivan,412,F-O,59.6,63,125,67.5,147.5,340,1,381.03,Athlone Open,Athlone,2016,lina o'sullivan,03/09/2016,3,356
Caolan McGlade,86,M-O,57.6,59,122.5,77.5,140,340,2,301.22,Athlone Open,Athlone,2016,caolan mcglade,03/09/2016,3,357
Amy Nolan,37,F-O,67.6,72,107.5,65,155,327.5,2,333.9,Athlone Open,Athlone,2016,amy nolan,03/09/2016,3,358
Emer McManus,230,F-O,51,52,115,65,135,315,1,398.6,Athlone Open,Athlone,2016,emer mcmanus,03/09/2016,3,359
Ava Horrigan,63,F-O,61.8,63,100,55,160,315,2,343.28,Athlone Open,Athlone,2016,ava horrigan,03/09/2016,3,360
Susan McDonald,630,F-O,101.4,84+,107.5,80,127.5,315,1,261.22,Athlone Open,Athlone,2016,susan mcdonald,03/09/2016,3,361
Laura Walsh,400,F-O,50.4,52,115,67.5,130,312.5,2,399.03,Athlone Open,Athlone,2016,laura walsh,03/09/2016,3,362
Fiona Walshe,258,F-O,71.4,72,110,57.5,140,307.5,3,301.82,Athlone Open,Athlone,2016,fiona walshe,03/09/2016,3,363
Kathleen Scully,376,F-O,80.2,84,115,57.5,135,307.5,4,280.98,Athlone Open,Athlone,2016,kathleen scully,03/09/2016,3,364
Aoife Daly,55,F-O,69.8,72,115,52.5,132.5,300,4,299.04,Athlone Open,Athlone,2016,aoife daly,03/09/2016,3,365
Claire Kelly,123,F-O,62.4,63,107.5,60,127.5,295,3,319.13,Athlone Open,Athlone,2016,claire kelly,03/09/2016,3,366
Eleanor McShortall,227,F-O,71.4,72,100,57.5,125,282.5,5,277.28,Athlone Open,Athlone,2016,eleanor mcshortall,03/09/2016,3,367
Bernice Flynn,73,F-O,69.2,72,95,65,117.5,277.5,6,278.28,Athlone Open,Athlone,2016,bernice flynn,03/09/2016,3,368
Sibeal Hurley,604,F-G,74.4,84,102.5,52.5,117.5,272.5,G,260.36,Athlone Open,Athlone,2016,sibeal hurley,03/09/2016,3,369
Caroline Lynch,90,F-O,50.6,52,97.5,42.5,117.5,257.5,3,327.81,Athlone Open,Athlone,2016,caroline lynch,03/09/2016,3,370
Joanne Fitzgerald,344,F-O,62.2,63,100,47.5,110,257.5,4,279.24,Athlone Open,Athlone,2016,joanne fitzgerald,03/09/2016,3,371
Amy Hughes,36,F-O,80.2,84,77.5,47.5,120,245,5,223.87,Athlone Open,Athlone,2016,amy hughes,03/09/2016,3,372
Kate Sheehy,374,F-O,56.4,57,92.5,45,100,237.5,1,277.89,Athlone Open,Athlone,2016,kate sheehy,03/09/2016,3,373
Erica Gaffney,245,F-O,46.6,47,82.5,52.5,100,235,1,318,Athlone Open,Athlone,2016,erica gaffney,03/09/2016,3,374
Lisa Carroll,417,F-G,57.2,63,77.5,47.5,105,230,G,266.16,Athlone Open,Athlone,2016,lisa carroll,03/09/2016,3,375
Claire McConnell,126,F-O,55.8,57,75,47.5,95,217.5,2,256.63,Athlone Open,Athlone,2016,claire mcconnell,03/09/2016,3,376
Aisling McManus,20,F-O,46.2,47,82.5,42.5,90,215,2,292.73,Athlone Open,Athlone,2016,aisling mcmanus,03/09/2016,3,377
Tara Conlon,637,F-O,61.2,63,50,40,100,190,5,208.62,Athlone Open,Athlone,2016,tara conlon,03/09/2016,3,378
Robert John McCurtin,546,M-O,70.6,74,137.5,0,160,0,DQ,0,Athlone Open,Athlone,2016,robert john mccurtin,03/09/2016,3,379
Colin Power,136,M-O,107.8,120,250,170,285,705,1,417.54,RevFit Open,Dublin,2016,colin power,08/10/2016,20,380
Mark Murphy,449,M-O,100.4,105,240,182.5,270,692.5,1,420.78,RevFit Open,Dublin,2016,mark murphy,08/10/2016,20,381
Barry Kane,64,M-Z,95.4,105,230,150,260,640,G,397.35,RevFit Open,Dublin,2016,barry kane,08/10/2016,20,382
Derrie Sutton,208,M-O,99.8,105,220,140,270,630,2,383.72,RevFit Open,Dublin,2016,derrie sutton,08/10/2016,20,383
Paul O'Hare,516,M-O,98.4,105,225,125,250,600,3,367.56,RevFit Open,Dublin,2016,paul o'hare,08/10/2016,20,384
Jackie Doherty,311,M-O,81.4,83,210,110,260,580,1,391.72,RevFit Open,Dublin,2016,jackie doherty,08/10/2016,20,385
Scott Dean,574,M-O,82.4,83,220,115,240,575,2,385.48,RevFit Open,Dublin,2016,scott dean,08/10/2016,20,386
James Hanley,317,M-O,97.6,105,205,140,230,575,4,353.46,RevFit Open,Dublin,2016,james hanley,08/10/2016,20,387
Luke Curran,432,M-O,94,105,210,122.5,240,572.5,5,357.84,RevFit Open,Dublin,2016,luke curran,08/10/2016,20,388
Ryan Ging,555,M-O,82.2,83,200,115,215,530,3,355.83,RevFit Open,Dublin,2016,ryan ging,08/10/2016,20,389
Nathan Keenan,485,M-O,90.6,93,210,115,205,530,1,337.22,RevFit Open,Dublin,2016,nathan keenan,08/10/2016,20,390
Sean Ferran,583,M-O,71.6,74,172.5,107.5,200,480,1,353.63,RevFit Open,Dublin,2016,sean ferran,08/10/2016,20,391
Andrew Greer,44,M-O,82.6,83,170,110,200,480,4,321.32,RevFit Open,Dublin,2016,andrew greer,08/10/2016,20,392
Thomas Donoghue,643,M-O,72,74,162.5,100,212.5,475,2,348.51,RevFit Open,Dublin,2016,thomas donoghue,08/10/2016,20,393
Mark Howe,446,M-O,103.2,105,165,120,180,465,6,279.59,RevFit Open,Dublin,2016,mark howe,08/10/2016,20,394
Conor Devilly,145,M-O,71.4,74,150,115,170,435,3,321.15,RevFit Open,Dublin,2016,conor devilly,08/10/2016,20,395
Mark Ennis,445,M-O,81.6,83,147.5,105,182.5,435,5,293.35,RevFit Open,Dublin,2016,mark ennis,08/10/2016,20,396
Barry O'Mahony,65,M-O,78.4,83,150,102.5,180,432.5,6,299.11,RevFit Open,Dublin,2016,barry o'mahony,08/10/2016,20,397
Karl Howard,371,M-O,102.6,105,130,95,175,400,7,241.03,RevFit Open,Dublin,2016,karl howard,08/10/2016,20,398
Karen Barry,365,F-O,71,72,145,80,165,390,1,384.25,RevFit Open,Dublin,2016,karen barry,08/10/2016,20,399
Claire Mc Glynn,125,F-O,63,63,145,65,170,380,1,408.1,RevFit Open,Dublin,2016,claire mc glynn,08/10/2016,20,400
James Keogh,319,M-O,88.2,93,135,90,155,380,2,245.15,RevFit Open,Dublin,2016,james keogh,08/10/2016,20,401
Rob Parnell,544,M-O,88.4,93,147.5,80,152.5,380,3,244.85,RevFit Open,Dublin,2016,rob parnell,08/10/2016,20,402
Clare Patterson,129,F-O,71.4,72,130,90,150,370,2,363.16,RevFit Open,Dublin,2016,clare patterson,08/10/2016,20,403
Helen Twomey,290,F-O,70.8,72,110,70,180,360,3,355.37,RevFit Open,Dublin,2016,helen twomey,08/10/2016,20,404
Sharon Lynch,600,F-O,71.8,72,110,67.5,170,347.5,4,339.8,RevFit Open,Dublin,2016,sharon lynch,08/10/2016,20,405
Sarah Doyle,566,F-O,81.8,84,132.5,55,155,342.5,1,309.62,RevFit Open,Dublin,2016,sarah doyle,08/10/2016,20,406
Alan Byrne,22,M-O,71.4,74,115,75,145,335,4,247.32,RevFit Open,Dublin,2016,alan byrne,08/10/2016,20,407
Eric Killeen,243,M-O,71.4,74,117.5,87.5,122.5,327.5,5,241.78,RevFit Open,Dublin,2016,eric killeen,08/10/2016,20,408
Lauren Elder,401,F-O,61.8,63,102.5,47.5,155,305,2,332.39,RevFit Open,Dublin,2016,lauren elder,08/10/2016,20,409
Sarah Daly,565,F-O,82,84,100,57.5,140,297.5,2,268.6,RevFit Open,Dublin,2016,sarah daly,08/10/2016,20,410
Sarah Flynn,567,F-O,55.6,57,105,50,140,295,1,349.05,RevFit Open,Dublin,2016,sarah flynn,08/10/2016,20,411
Elaine Stone,224,F-O,71.6,72,107.5,67.5,120,295,5,289,RevFit Open,Dublin,2016,elaine stone,08/10/2016,20,412
Sarah Scallan,572,F-O,62,63,100,60,127.5,287.5,3,312.54,RevFit Open,Dublin,2016,sarah scallan,08/10/2016,20,413
Leanne Keane,403,F-O,66.6,72,100,57.5,125,282.5,6,291.13,RevFit Open,Dublin,2016,leanne keane,08/10/2016,20,414
Linda O'Connor,414,F-O,68.2,72,95,60,125,280,7,283.68,RevFit Open,Dublin,2016,linda o'connor,08/10/2016,20,415
Yvonne Osan,670,F-O,93.2,84+,100,45,135,280,1,238.63,RevFit Open,Dublin,2016,yvonne osan,08/10/2016,20,416
Jennifer Geary,335,F-O,66,72,100,42.5,115,257.5,8,267.12,RevFit Open,Dublin,2016,jennifer geary,08/10/2016,20,417
Rebekah Wilson,537,F-O,69.8,72,110,47.5,85,242.5,9,241.73,RevFit Open,Dublin,2016,rebekah wilson,08/10/2016,20,418
Jen Dela Cruz,333,F-O,50.6,52,80,47.5,107.5,235,1,299.16,RevFit Open,Dublin,2016,jen dela cruz,08/10/2016,20,419
Clare Duffy,127,F-O,67.8,72,70,50,115,235,10,239.09,RevFit Open,Dublin,2016,clare duffy,08/10/2016,20,420
Shaoifra Ducker,599,F-O,56.2,57,72.5,40,100,212.5,2,249.33,RevFit Open,Dublin,2016,shaoifra ducker,08/10/2016,20,421
Caroline Cunniffe,89,F-O,55.4,57,70,35,100,205,3,243.25,RevFit Open,Dublin,2016,caroline cunniffe,08/10/2016,20,422
Laura Cooley,395,F-O,58.2,63,72.5,42.5,90,205,4,234.03,RevFit Open,Dublin,2016,laura cooley,08/10/2016,20,423
Michelle Kickham,476,F-Z,52,52,55,30,85,170,G,211.93,RevFit Open,Dublin,2016,michelle kickham,08/10/2016,20,424
Aisling Judge,18,F-O,77.4,84,135,0,170,0,DQ,0,RevFit Open,Dublin,2016,aisling judge,08/10/2016,20,425
Ciaragh Kehoe,114,F-O,59,63,0,47.5,120,0,DQ,0,RevFit Open,Dublin,2016,ciaragh kehoe,08/10/2016,20,426
Ian Murphy,294,M-D,82.4,83,0,0,225,225,1,150.84,RevFit Bench and Deadlift,Dublin,2016,ian murphy,09/10/2016,19,427
Cian O'Connor,109,M-D,102.2,105,0,0,190,190,1,114.66,RevFit Bench and Deadlift,Dublin,2016,cian o'connor,09/10/2016,19,428
Maeve Cummins,434,F-D,80.4,84,0,0,167.5,167.5,1,152.84,RevFit Bench and Deadlift,Dublin,2016,maeve cummins,09/10/2016,19,429
Nicola Paviglianiti,492,F-D,56,57,0,0,152.5,152.5,1,179.43,RevFit Bench and Deadlift,Dublin,2016,nicola paviglianiti,09/10/2016,19,430
Wendy Kavanagh,664,F-D,61.6,63,0,0,150,150,1,163.88,RevFit Bench and Deadlift,Dublin,2016,wendy kavanagh,09/10/2016,19,431
Mary Brennan,455,F-D,59.8,63,0,0,140,140,2,156.49,RevFit Bench and Deadlift,Dublin,2016,mary brennan,09/10/2016,19,432
Gavin Dillon,271,M-B,78.8,83,0,135.5,0,135.5,1,93.4,RevFit Bench and Deadlift,Dublin,2016,gavin dillon,09/10/2016,19,433
Shelly Boyle,603,F-D,79.4,84,0,0,135,135,2,124.05,RevFit Bench and Deadlift,Dublin,2016,shelly boyle,09/10/2016,19,434
Joelle Fagan,349,F-D,82.8,84,0,0,135,135,3,121.27,RevFit Bench and Deadlift,Dublin,2016,joelle fagan,09/10/2016,19,435
Paul Taaffe,518,M-B,92.8,93,0,135,0,135,1,84.89,RevFit Bench and Deadlift,Dublin,2016,paul taaffe,09/10/2016,19,436
Mairead O'Sullivan,436,F-D,80.8,84,0,0,130,130,4,118.3,RevFit Bench and Deadlift,Dublin,2016,mairead o'sullivan,09/10/2016,19,437
Mary Mullins,457,F-D,82.8,84,0,0,130,130,5,116.78,RevFit Bench and Deadlift,Dublin,2016,mary mullins,09/10/2016,19,438
Sinead Vallely,612,F-D,66.6,72,0,0,125,125,1,128.82,RevFit Bench and Deadlift,Dublin,2016,sinead vallely,09/10/2016,19,439
Michelle Barron,475,F-D,71,72,0,0,125,125,2,123.16,RevFit Bench and Deadlift,Dublin,2016,michelle barron,09/10/2016,19,440
Owen Slattery,504,M-B,73.2,74,0,125,0,125,1,90.62,RevFit Bench and Deadlift,Dublin,2016,owen slattery,09/10/2016,19,441
Brid O'Sullivan,79,F-D,71,72,0,0,120,120,3,118.23,RevFit Bench and Deadlift,Dublin,2016,brid o'sullivan,09/10/2016,19,442
Susan Quirke,631,F-D,83,84,0,0,120,120,6,107.66,RevFit Bench and Deadlift,Dublin,2016,susan quirke,09/10/2016,19,443
Michelle Thompson,477,F-D,71.8,72,0,0,115,115,4,112.45,RevFit Bench and Deadlift,Dublin,2016,michelle thompson,09/10/2016,19,444
Amaal Zaki,32,F-D,63,63,0,0,110,110,3,118.14,RevFit Bench and Deadlift,Dublin,2016,amaal zaki,09/10/2016,19,445
Jennifer Twohig,338,F-D,65.6,72,0,0,110,110,5,114.62,RevFit Bench and Deadlift,Dublin,2016,jennifer twohig,09/10/2016,19,446
Mark Lacey,447,M-B,90.2,93,0,107.5,0,107.5,2,68.55,RevFit Bench and Deadlift,Dublin,2016,mark lacey,09/10/2016,19,447
Sean Behan,578,M-B,82.6,83,0,105,0,105,2,70.29,RevFit Bench and Deadlift,Dublin,2016,sean behan,09/10/2016,19,448
Lucy Sherman,429,F-D,63.2,72,0,0,90,90,6,96.42,RevFit Bench and Deadlift,Dublin,2016,lucy sherman,09/10/2016,19,449
Shane Cahill,591,M-B,70,74,0,90,0,90,2,67.44,RevFit Bench and Deadlift,Dublin,2016,shane cahill,09/10/2016,19,450
Sylwia Majszyk,634,F-B,68.4,72,0,85,0,85,1,85.94,RevFit Bench and Deadlift,Dublin,2016,sylwia majszyk,09/10/2016,19,451
Cian O'Connor,109,M-B,102.2,105,0,80,0,80,1,48.28,RevFit Bench and Deadlift,Dublin,2016,cian o'connor,09/10/2016,19,452
Grainne Considine,284,F-B,78,84,0,65,0,65,1,60.34,RevFit Bench and Deadlift,Dublin,2016,grainne considine,09/10/2016,19,453
Claire Caulfield,122,F-B,62.2,63,0,47.5,0,47.5,1,51.51,RevFit Bench and Deadlift,Dublin,2016,claire caulfield,09/10/2016,19,454
Sinead Vallely,612,F-B,66.6,72,0,47.5,0,47.5,2,48.95,RevFit Bench and Deadlift,Dublin,2016,sinead vallely,09/10/2016,19,455
Mary Brennan,455,F-B,59.8,63,0,45,0,45,2,50.3,RevFit Bench and Deadlift,Dublin,2016,mary brennan,09/10/2016,19,456
Wendy Kavanagh,664,F-B,61.6,63,0,45,0,45,3,49.16,RevFit Bench and Deadlift,Dublin,2016,wendy kavanagh,09/10/2016,19,457
Amaal Zaki,32,F-B,63,63,0,45,0,45,4,48.33,RevFit Bench and Deadlift,Dublin,2016,amaal zaki,09/10/2016,19,458
Jennifer Twohig,338,F-B,65.6,72,0,40,0,40,3,41.68,RevFit Bench and Deadlift,Dublin,2016,jennifer twohig,09/10/2016,19,459
Jennifer Higgins,336,F-B,67.2,72,0,40,0,40,4,40.96,RevFit Bench and Deadlift,Dublin,2016,jennifer higgins,09/10/2016,19,460
Mary Mullins,457,F-B,82.8,84,0,40,0,40,2,35.93,RevFit Bench and Deadlift,Dublin,2016,mary mullins,09/10/2016,19,461
Brid O'Sullivan,79,F-B,71,72,0,35,0,35,5,34.48,RevFit Bench and Deadlift,Dublin,2016,brid o'sullivan,09/10/2016,19,462
Cliona Wrenne,130,F-B,59.6,63,0,30,0,30,5,33.62,RevFit Bench and Deadlift,Dublin,2016,cliona wrenne,09/10/2016,19,463
Fergal Cox,254,M-B,78,83,0,0,0,0,DQ,0,RevFit Bench and Deadlift,Dublin,2016,fergal cox,09/10/2016,19,466
Mairead O'Sullivan,436,F-B,80.8,84,0,0,0,0,DQ,0,RevFit Bench and Deadlift,Dublin,2016,mairead o'sullivan,09/10/2016,19,464
Susan Quirke,631,F-B,83,84,0,0,0,0,DQ,0,RevFit Bench and Deadlift,Dublin,2016,susan quirke,09/10/2016,19,465
Colin Wright,138,M-M1,116.8,120,295,170,320,785,1,454.29,IPF-NIPF All Irelands 2016,Belfast,2015,colin wright,26/11/2016,8,467
Shane Manning,594,M-SR,118,120,280.5,162.5,295,738,1,426,IPF-NIPF All Irelands 2016,Belfast,2015,shane manning,26/11/2016,8,468
Robert Newman,547,M-SR,135,120+,257.5,167.5,275,700,1,393.38,IPF-NIPF All Irelands 2016,Belfast,2015,robert newman,26/11/2016,8,469
Arthur Lynch,60,M-SR,89.8,93,250,165,280,695,1,444.19,IPF-NIPF All Irelands 2016,Belfast,2015,arthur lynch,26/11/2016,8,470
Stephen Casey,617,M-JR,91.4,93,235,145,300,680,1,430.77,IPF-NIPF All Irelands 2016,Belfast,2015,stephen casey,26/11/2016,8,471
Sean Ryan,589,M-SR,82.8,83,237.5,145,280,662.5,1,442.85,IPF-NIPF All Irelands 2016,Belfast,2015,sean ryan,26/11/2016,8,472
Andrew Barr,41,M-SR,79.8,83,225,150,265,640,2,437.62,IPF-NIPF All Irelands 2016,Belfast,2015,andrew barr,26/11/2016,8,473
John Maher,354,M-SR,82.4,83,225,145,265,635,3,425.7,IPF-NIPF All Irelands 2016,Belfast,2015,john maher,26/11/2016,8,474
Mark Comiskey,442,M-SR,82,83,225,152.5,242.5,620,4,416.86,IPF-NIPF All Irelands 2016,Belfast,2015,mark comiskey,26/11/2016,8,475
Lorcan Everard,419,M-JR,77.8,83,220,125,242.5,587.5,1,408.36,IPF-NIPF All Irelands 2016,Belfast,2015,lorcan everard,26/11/2016,8,476
Aaron Small,2,M-SR,104.6,105,212.5,130,240,582.5,1,348.54,IPF-NIPF All Irelands 2016,Belfast,2015,aaron small,26/11/2016,8,477
Matthew Henry,459,M-JR,82.6,83,205,122.5,250,577.5,2,386.59,IPF-NIPF All Irelands 2016,Belfast,2015,matthew henry,26/11/2016,8,478
Jonathan Cathcart,357,M-SR,107.4,120,192.5,152.5,225,570,2,338,IPF-NIPF All Irelands 2016,Belfast,2015,jonathan cathcart,26/11/2016,8,479
Shayne Mone,602,M-SR,87.8,93,205,132.5,227.5,565,2,365.38,IPF-NIPF All Irelands 2016,Belfast,2015,shayne mone,26/11/2016,8,480
Philip Barr,527,M-JR,73.2,74,210,140,210,560,1,405.96,IPF-NIPF All Irelands 2016,Belfast,2015,philip barr,26/11/2016,8,481
Daniel Mowbray,170,M-JR,89.4,93,215,115,230,560,2,358.73,IPF-NIPF All Irelands 2016,Belfast,2015,daniel mowbray,26/11/2016,8,482
Drew Lupton,216,M-SR,91.2,93,200,122.5,235,557.5,3,353.55,IPF-NIPF All Irelands 2016,Belfast,2015,drew lupton,26/11/2016,8,483
Ashwin Amersi,61,M-G,74.6,83,195,130,230,555,G,396.95,IPF-NIPF All Irelands 2016,Belfast,2015,ashwin amersi,26/11/2016,8,484
David McQuillan,197,M-SR,65.4,66,197.5,125,225,547.5,1,433.15,IPF-NIPF All Irelands 2016,Belfast,2015,david mcquillan,26/11/2016,8,485
Tommy Burns,648,M-SR,71.2,74,205,120,217.5,542.5,1,401.35,IPF-NIPF All Irelands 2016,Belfast,2015,tommy burns,26/11/2016,8,486
Paul Berry,509,M-SR,80.6,83,200,130,200,530,5,360.14,IPF-NIPF All Irelands 2016,Belfast,2015,paul berry,26/11/2016,8,487
Deividas Barisas,206,M-SR,71,74,187.5,112.5,225,525,1,389.22,IPF-NIPF All Irelands 2016,Belfast,2015,deividas barisas,26/11/2016,8,488
Jordan Konczak,362,M-SJ,81.2,83,197.5,117.5,210,525,1,355.11,IPF-NIPF All Irelands 2016,Belfast,2015,jordan konczak,26/11/2016,8,489
Noel Whelan,498,M-SR,64.4,66,187.5,120,200,507.5,2,406.72,IPF-NIPF All Irelands 2016,Belfast,2015,noel whelan,26/11/2016,8,490
Reuben Clarke,539,M-JR,72.4,74,162.5,140,200,502.5,2,367.19,IPF-NIPF All Irelands 2016,Belfast,2015,reuben clarke,26/11/2016,8,491
Sean Ferran,583,M-JR,71,74,185,107.5,195,487.5,3,361.42,IPF-NIPF All Irelands 2016,Belfast,2015,sean ferran,26/11/2016,8,492
Conor Gelston,147,M-SR,71,74,162.5,100,192.5,455,1,337.33,IPF-NIPF All Irelands 2016,Belfast,2015,conor gelston,26/11/2016,8,493
Dermot O'Rourke,207,M-SJ,59,59,152.5,90,177.5,420,1,363.79,IPF-NIPF All Irelands 2016,Belfast,2015,dermot o'rourke,26/11/2016,8,494
Louise Kenna,425,F-SR,71.8,72,150,80,177.5,407.5,1,398.47,IPF-NIPF All Irelands 2016,Belfast,2015,louise kenna,26/11/2016,8,495
Bronagh McPeake,80,F-SR,62.6,63,153,75,172,400,1,431.66,IPF-NIPF All Irelands 2016,Belfast,2015,bronagh mcpeake,26/11/2016,8,496
Carla Wright,87,F-SR,70.2,72,120,90,180,390,2,387.23,IPF-NIPF All Irelands 2016,Belfast,2015,carla wright,26/11/2016,8,497
Vanessa Vanderveen,661,F-SR,75.6,84,145,77.5,157.5,380,1,359.46,IPF-NIPF All Irelands 2016,Belfast,2015,vanessa vanderveen,26/11/2016,8,498
Lauren Rooney,402,F-SR,114,84+,137.5,80,150,367.5,1,296.66,IPF-NIPF All Irelands 2016,Belfast,2015,lauren rooney,26/11/2016,8,499
Hazel Hu,288,F-SR,51.2,52,132.5,72.5,155,360,1,454.18,IPF-NIPF All Irelands 2016,Belfast,2015,hazel hu,26/11/2016,8,500
Gabrielle Ervine,261,F-SR,62.8,63,135,77.5,145,357.5,2,384.87,IPF-NIPF All Irelands 2016,Belfast,2015,gabrielle ervine,26/11/2016,8,501
Caolan McGlade,86,M-JR,58,59,132.5,82.5,140,355,1,312.46,IPF-NIPF All Irelands 2016,Belfast,2015,caolan mcglade,26/11/2016,8,502
Cheryl Newberry,96,F-SR,70.4,72,120,60,160,340,3,336.93,IPF-NIPF All Irelands 2016,Belfast,2015,cheryl newberry,26/11/2016,8,503
Jacqui Pope,312,F-M1,82.8,84,117.5,72.5,150,340,1,305.41,IPF-NIPF All Irelands 2016,Belfast,2015,jacqui pope,26/11/2016,8,504
